Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
21,2.22218,54,824,33433835,41,3580520,58,0,37456892,39037256,41000926,41026613,54,37015269,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.64875;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.53;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:303.345;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.83;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.48;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.106;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.035;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.294;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.391;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
11,2.22218,55,816,15786898,34,3573235,64,0,19536972,21275860,21284731,23204733,55,19361039,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.6525;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.513;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:304.078;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.839;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.474;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.144;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.022;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.301;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.414;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
17,2.22218,55,806,26456875,33,3589403,59,0,30436158,32051133,33991936,34017201,55,30047167,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.64963;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.499;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:303.379;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.823;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.442;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.124;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.008;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.27;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.392;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
5,2.24068,49,782,5623737,39,3287363,53,0,8830148,10596172,10598790,12585461,49,8911967,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.649537;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.423;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:304.278;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.752;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.378;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.062;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:188.999;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.212;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.385;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
7,2.24069,48,787,9084918,38,3286545,55,0,12370716,12397297,12398402,12398980,48,12372338,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.66;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.524;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:305.127;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.812;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.451;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.18;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.064;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.334;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.407;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
1,2.24069,51,784,276,20,2370213,42,0,1779678,1783829,1786527,1790627,51,2371328,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.650417;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.357;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:303.276;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.482;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.273;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.035;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:188.938;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.187;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.369;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
23,2.2592,52,809,37286051,37,3550123,58,0,42537638,42674108,42713270,42731872,52,40837069,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.656852;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.442;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:304.192;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.833;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.39;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.091;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:188.986;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.232;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.386;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
9,2.2592,50,817,12366136,41,3533434,59,0,17654506,17672915,17679773,17686522,50,15900479,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.658287;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.483;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:305.148;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.883;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.406;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.133;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:188.971;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.25;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.457;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
13,2.25921,52,840,19103230,29,3574105,58,0,21267470,24806483,24808366,24818748,52,22678256,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.649306;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.544;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:303.697;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.906;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.483;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.161;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.029;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.296;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.433;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
19,2.25922,54,817,29630056,34,3546440,58,0,31940116,35466970,35472246,35481188,54,33177396,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.653102;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.43;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:304.268;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.846;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.371;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.057;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:188.974;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.23;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.39;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:47737470976;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:54805921792;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:47737470976;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:47737470976;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:47737470976;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:47737470976;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:46395293696;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
