Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
1,0.749989,51,836,279,21,2665458,42,0,2668150,2744338,2764239,2772878,51,2666630,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.0694907;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.0670833;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.0691204;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.0688426;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.0702778;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.06875;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.0771296;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:260.462;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:250.069;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:259.654;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:251.836;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:257.359;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:252.203;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:257.416;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.459;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
3,2.18514,50,780,276,18,2741497,38,0,2695709,2731229,2741001,5288611,50,2742604,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.224444;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.225324;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.227546;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.227222;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.242731;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.230972;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.250324;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:289.355;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:268.16;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:288.988;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:281.028;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:287.022;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:280.939;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:283.241;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.015;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
5,3.56475,50,767,272,17,2785368,37,0,2773212,2857584,2901854,3052272,50,2786456,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.383704;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.374861;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.386991;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.389444;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.418796;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.400833;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.413241;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:319.223;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:286.361;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:318.74;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:309.732;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:315.701;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:309.656;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:310.493;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.485;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
13,4.00918,51,651,669799,16,5754193,42,0,5260747,11774164,12093058,13838100,51,6424694,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.528426;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.465093;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.532176;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.560741;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.604769;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.545694;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.497361;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:331.318;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:293.365;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:331.157;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:321.975;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:328.066;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:321.179;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:320.598;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.834;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
23,4.01841,51,741,1023836,25,10330227,58,0,11001493,16427540,17307071,18569661,51,11354880,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.537454;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.469861;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.515185;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.576389;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.613519;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.541343;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.502269;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:331.645;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:292.122;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:329.346;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:322.229;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:328.35;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:321.852;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:321.042;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.604;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
19,4.02769,51,809,806024,21,8510612,52,0,9808345,13263590,13613531,14137780,51,9317511,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.501435;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.470139;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.519398;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.585185;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.582685;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.554583;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.498333;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:332.365;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:292.619;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:330.441;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:322.238;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:328.805;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:321.988;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:320.903;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.608;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
17,4.04621,52,843,727583,19,7640215,50,0,8024297,13118301,13333216,14947441,52,8368704,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.509583;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.466759;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.530787;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.590556;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.584537;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.544259;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.505046;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:331.697;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:293.084;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:330.15;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:321.799;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:328.037;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:321.309;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:320.876;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.69;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
11,4.06473,50,831,578751,15,4798683,39,0,4212539,8358571,9624157,11411010,50,5378313,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.525556;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.46287;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.525093;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.563611;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.576481;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.553194;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.498565;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:331.832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:292.816;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:330.673;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:322.503;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:328.369;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:321.388;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:321.256;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.856;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
21,4.07397,50,772,946211,21,9372126,55,0,11678895,13562341,14648629,15045662,50,10319178,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.522083;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.46787;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.512778;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.553472;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.618426;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.532639;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.495602;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:331.773;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:293.317;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:330.358;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:321.48;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:327.999;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:321.761;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:320.967;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.611;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
15,4.09249,51,813,705917,17,6612880,46,0,5634628,12311299,13238917,14947964,51,7319666,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.516296;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.468009;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.526343;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.570324;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.592824;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.560046;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.503472;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:331.948;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:293.523;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:331.51;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:322.894;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:328.118;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:322.044;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:321.36;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.673;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49532633088;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:56584306688;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49532633088;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49532633088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49532633088;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49532633088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48173678592;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
