Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
5,0.688265,51,822,2298456,41,4890053,68,0,7218215,7359515,7378827,7389026,51,7189435,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.579352;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.588;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:311.187;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.005;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.453;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.067;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.081;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.26;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.562;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52530511872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
13,0.689808,51,788,8832778,85,9819114,112,0,18773989,18933131,18941662,18958255,51,18652871,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.575787;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.096;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:310.965;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.545;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.02;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192.767;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:188.762;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:190.897;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.121;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52530511872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
17,0.689809,54,792,13985563,94,10324531,108,0,24554558,27579743,31925816,33361327,54,24311082,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.580988;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.992;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:310.861;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.487;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.975;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192.755;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:188.747;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:190.868;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52530511872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
1,0.69289,52,789,258,18,1443509,38,0,1445418,1449909,1451460,1603868,52,1444607,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.575849;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.841;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:311.426;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.343;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.711;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.357;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.401;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.474;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.817;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52530511872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
21,0.699057,56,922,19494067,105,10530948,106,0,30441299,31390580,31942738,34641653,56,30026141,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.577377;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.363;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:311.649;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.914;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.272;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.179;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.33;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.32;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.638;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52530511872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
9,0.700611,51,845,6301758,54,6542838,85,0,12998461,13155436,13170736,13181673,51,12845574,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.581049;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.516;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:311.273;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.942;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.349;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.084;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.072;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.263;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.511;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52530511872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
1,4.48143,50,794,266,17,1783074,38,0,1774564,1778505,1779606,1780967,50,1784182,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.648781;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.901;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.476;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.509;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.675;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.607;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.777;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.829;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.205;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53142880256;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
13,4.48144,54,808,21188737,16,1783283,40,0,23065811,24150710,24189136,24226004,54,22972875,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.647191;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.35;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.896;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.909;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.27;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192.99;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.034;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.165;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.437;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53142880256;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
21,4.49378,54,778,35227635,15,1779609,39,0,37236032,38344556,38373517,38398126,54,37008066,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.649707;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.485;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.245;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.046;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.447;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.138;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.248;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.278;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.584;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53142880256;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
17,4.49379,57,817,28186767,14,1779974,40,0,30154355,30226771,31246013,31265001,57,29967602,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.649753;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.111;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.119;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.691;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.076;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192.793;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:188.914;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:190.942;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.213;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46143635456;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53142880256;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46143635456;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46143635456;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46143635456;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46143635456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44801458176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23125295104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
