,model,batch_size,,,,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
,gemma3,8,,,,129,4.70356,1223,950,189766626,23,1697248,38,0,219079203,219172847,219184790,219209476,1223,191464849,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.642269;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.781;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.636;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.362;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.599;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.646;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.128;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.908;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.522;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53107228672;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,gemma3,8,,,,65,4.71591,1765,909,99291611,26,1697976,39,0,110356769,110412351,110420770,110438153,1765,100990550,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.639414;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.827;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.15;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.421;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.625;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.785;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.193;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.976;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.542;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53107228672;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,gemma3,8,,,,321,4.71598,406,881,533613183,21,1694717,40,0,544690010,546194877,546347579,546522848,406,535308832,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.646466;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.318;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.9;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.863;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.16;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.318;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.691;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.449;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.985;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53107228672;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,gemma3,8,,,,1,4.716,51,801,280,17,1694465,38,0,1690834,1696143,1697095,2230138,51,1695595,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.641127;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.962;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.2;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.497;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.59;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.981;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.749;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.34;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53107228672;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,gemma3,8,,,,385,4.72833,474,2338,621260201,24,1687860,41,0,649858723,650468701,650593628,650711099,474,622950454,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.641775;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.169;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.288;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.779;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.075;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.232;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.7;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.418;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.006;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53107228672;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,gemma3,8,,,,449,4.74061,81,885,648181798,15,1688313,42,0,649890857,650211613,650341158,650369322,81,649871043,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.646883;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.275;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.179;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.934;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.214;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.51;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.955;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.634;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.225;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53107228672;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,gemma3,8,,,,193,4.74068,259,882,314495999,22,1685088,39,0,325359166,325498684,325517981,325549682,259,316182021,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.649213;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.186;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.869;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.794;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.031;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.212;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.728;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.443;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.108;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53107228672;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,gemma3,8,,,,257,4.75303,869,858,404271742,24,1685962,38,0,432821411,433289681,433305656,433365406,869,405958614,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.640833;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.926;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.619;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.571;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.897;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.06;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.532;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.234;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.862;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53107228672;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,mistral,8,,,,1,3.13577,53,802,282,20,2547924,40,0,2550675,2629542,2646352,2693479,53,2549062,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.0814506;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.07375;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.0808179;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.0820833;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.0820833;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.0817438;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.0871605;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:263.586;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:253.412;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:264.238;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:255.481;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:262.669;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:257.468;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:261.432;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:195.803;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:48683286528;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:55841914880;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:48683286528;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:48683286528;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:48683286528;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:48683286528;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:47475326976;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
,mistral,8,,,,449,14.2343,729,909,246489628,15,4492268,40,0,251951313,253134963,253464952,253939155,729,250982852,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.532407;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.447191;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.532623;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.531682;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.577361;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.560509;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.488765;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:336.138;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:295.668;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:335.356;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:326.079;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:333.615;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:327.59;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:324.165;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.643;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:48683286528;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:55841914880;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:48683286528;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:48683286528;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:48683286528;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:48683286528;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:47475326976;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
