Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753614380,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753614381,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753614382,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753614383,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753614384,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753614387,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753614391,75,,Aggregated,0.000000,0.000000,2200,2800,3400,3400,3400,3400,3400,3400,3400,3400,3400,12,12,2100.0,2184.317690996977,543.2455000118352,3394.6547499799635,534.6666666666666
1753614395,100,,Aggregated,1.714286,1.714286,2000,2900,3100,3400,3400,3700,4600,4600,4600,4600,4600,23,23,2000.0,2091.2512446040005,178.1715830147732,4561.070041992934,669.1739130434783
1753614396,100,,Aggregated,2.300000,2.300000,1900,2900,3100,3400,4600,5500,10000,10000,10000,10000,10000,37,36,1900.0,2172.8896520531584,62.92420800309628,10004.270000004908,653.1351351351351
1753614398,100,,Aggregated,2.300000,2.300000,2000,2900,3400,3400,4600,5500,10000,10000,10000,10000,10000,38,37,1900.0,2227.5465011311767,62.92420800309628,10004.270000004908,673.1842105263158
1753614399,100,,Aggregated,3.800000,3.700000,2000,3100,3600,4200,5500,10000,12000,12000,12000,12000,12000,50,47,1900.0,2631.14967915928,56.89924999023788,12361.58987498493,1884.12
1753614400,100,,Aggregated,2.900000,2.800000,1900,3000,3600,3800,5500,10000,12000,12000,12000,12000,12000,51,48,1900.0,2579.8128864307905,12.973250006325543,12361.58987498493,1849.0196078431372
1753614401,100,,Aggregated,3.700000,3.400000,2100,3100,3700,4200,5500,10000,12000,12000,12000,12000,12000,57,53,2100.0,2729.3539963138755,12.475832976633683,12361.58987498493,1765.5964912280701
1753614402,100,,Aggregated,3.800000,3.500000,2100,3100,3700,4200,5500,10000,12000,12000,12000,12000,12000,58,54,2000.0,2682.527364205051,12.475832976633683,12361.58987498493,1736.7758620689656
1753614403,100,,Aggregated,4.200000,3.900000,2100,3400,4200,4600,5700,10000,12000,18000,18000,18000,18000,63,58,2100.0,2937.211953014383,11.801084008766338,18401.55708300881,2624.4603174603176
1753614404,100,,Aggregated,3.600000,3.200000,2100,3400,4200,4600,5700,10000,12000,18000,18000,18000,18000,64,59,2000.0,2891.5057109047666,11.801084008766338,18401.55708300881,2584.90625
1753614405,100,,Aggregated,3.500000,3.100000,2100,3400,4200,4900,8800,12000,16000,18000,18000,18000,18000,66,60,2100.0,3179.703481649719,11.801084008766338,18401.55708300881,2539.742424242424
1753614406,100,,Aggregated,3.500000,3.100000,2100,3400,4200,4900,8800,12000,16000,18000,18000,18000,18000,66,60,2100.0,3179.703481649719,11.801084008766338,18401.55708300881,2539.742424242424
1753614407,100,,Aggregated,4.100000,3.600000,2200,3400,4600,5200,9700,12000,18000,23000,23000,23000,23000,68,61,2100.0,3543.7190060718635,11.801084008766338,22576.47541598999,3391.1617647058824
1753614408,100,,Aggregated,2.900000,2.400000,2200,3600,4600,5500,9700,12000,18000,23000,23000,23000,23000,69,62,2200.0,3614.037922041936,11.801084008766338,22576.47541598999,3362.521739130435
1753614409,100,,Aggregated,2.800000,2.300000,2800,3700,4900,5500,9700,12000,18000,23000,23000,23000,23000,70,63,2200.0,3687.5299904270964,11.801084008766338,22576.47541598999,3334.7
1753614410,100,,Aggregated,3.000000,2.400000,2800,3700,5000,5500,9000,12000,18000,23000,23000,23000,23000,72,65,2200.0,3710.782375526631,11.801084008766338,22576.47541598999,3263.0138888888887
1753614411,100,,Aggregated,2.000000,1.600000,2800,3700,5000,5700,9700,16000,23000,24000,24000,24000,24000,74,66,2200.0,3932.976787106757,11.801084008766338,23850.42324999813,4007.891891891892
1753614412,100,,Aggregated,2.100000,1.700000,2800,3800,5200,6700,10000,18000,23000,24000,24000,24000,24000,77,68,2800.0,4207.068827869174,11.801084008766338,23850.42324999813,3878.935064935065
1753614413,100,,Aggregated,1.800000,1.400000,2800,4200,5500,8400,10000,18000,23000,24000,24000,24000,24000,79,70,2800.0,4227.206415555711,11.801084008766338,23850.42324999813,3799.8227848101264
1753614414,100,,Aggregated,1.700000,1.300000,2200,3800,5500,8400,10000,16000,23000,24000,24000,24000,24000,84,75,2100.0,4092.6732062968463,11.801084008766338,23850.42324999813,3594.9166666666665
1753614415,100,,Aggregated,2.000000,1.500000,2100,3800,5500,8400,10000,16000,23000,24000,24000,24000,24000,89,80,2100.0,4047.0882171681255,11.801084008766338,23850.42324999813,3427.887640449438
1753614416,100,,Aggregated,1.700000,1.300000,2200,4200,5700,8400,10000,23000,27000,30000,30000,30000,30000,92,81,2100.0,4531.218257629877,11.801084008766338,29727.429791004397,3995.1739130434785
1753614417,100,,Aggregated,2.000000,1.600000,2200,4200,5700,8500,10000,23000,27000,30000,30000,30000,30000,94,83,2100.0,4528.23458904211,11.801084008766338,29727.429791004397,3926.2127659574467
1753614418,100,,Aggregated,2.300000,2.000000,2100,4200,5700,8500,10000,23000,27000,30000,30000,30000,30000,97,86,2100.0,4488.77431739112,11.801084008766338,29727.429791004397,3821.2886597938145
1753614419,100,,Aggregated,2.700000,2.200000,2200,4200,6700,8800,12000,23000,28000,30000,30000,30000,30000,98,86,2100.0,4732.286655570663,11.801084008766338,29727.429791004397,3789.387755102041
1753614420,100,,Aggregated,2.700000,2.200000,2200,4200,6700,8800,12000,23000,28000,30000,30000,30000,30000,98,86,2100.0,4732.286655570663,11.801084008766338,29727.429791004397,3789.387755102041
1753614421,100,,Aggregated,2.800000,2.400000,2200,4300,7900,8800,12000,23000,28000,30000,30000,30000,30000,100,88,2100.0,4717.309799119248,11.801084008766338,29727.429791004397,3728.68
1753614422,100,,Aggregated,2.700000,2.200000,2100,4200,6700,8500,10000,23000,27000,28000,30000,30000,30000,102,90,2100.0,4625.306673969688,11.801084008766338,29727.429791004397,3657.392156862745
1753614423,100,,Aggregated,2.700000,2.200000,2200,4600,7900,8800,12000,23000,28000,30000,35000,35000,35000,105,92,2200.0,4968.535065027563,11.801084008766338,34909.18749998673,3588.5619047619048
1753614424,100,,Aggregated,2.600000,2.200000,2800,4600,7900,8500,12000,23000,28000,30000,35000,35000,35000,106,93,2200.0,4987.204559697036,11.801084008766338,34909.18749998673,3568.056603773585
1753614425,100,,Aggregated,2.400000,2.100000,2800,4900,7900,8500,12000,23000,28000,30000,35000,35000,35000,107,94,2800.0,5005.680512793299,11.801084008766338,34909.18749998673,3547.9345794392525
1753614426,100,,Aggregated,2.500000,2.100000,2900,5200,7900,8500,12000,24000,30000,35000,36000,36000,36000,112,98,2800.0,5272.575390561282,11.801084008766338,35699.90095801768,3436.776785714286
1753614427,100,,Aggregated,2.200000,1.800000,2900,5500,7100,8500,12000,24000,30000,35000,36000,36000,36000,113,99,2900.0,5283.6533531848445,11.801084008766338,35699.90095801768,3418.8849557522126
1753614428,100,,Aggregated,1.800000,1.400000,2900,5500,7100,8500,12000,24000,30000,35000,36000,36000,36000,115,101,2900.0,5250.0854354425155,11.801084008766338,35699.90095801768,3372.5391304347827
1753614429,100,,Aggregated,1.900000,1.600000,2900,5700,7100,8400,12000,24000,30000,35000,36000,36000,36000,117,103,2900.0,5279.268834699875,11.801084008766338,35699.90095801768,3339.076923076923
1753614430,100,,Aggregated,2.000000,1.700000,3000,6100,7400,8400,12000,24000,30000,35000,36000,36000,36000,119,105,3000.0,5317.015309813932,11.801084008766338,35699.90095801768,3306.7394957983192
1753614431,100,,Aggregated,2.000000,1.700000,3000,6100,7400,8400,12000,24000,30000,35000,36000,36000,36000,119,105,3000.0,5317.015309813932,11.801084008766338,35699.90095801768,3306.7394957983192
1753614432,100,,Aggregated,1.900000,1.700000,3100,6500,7400,8400,10000,23000,30000,35000,36000,36000,36000,122,108,3000.0,5366.248928220154,11.801084008766338,35699.90095801768,3260.22131147541
1753614433,100,,Aggregated,1.900000,1.700000,3100,6500,7400,8400,10000,23000,30000,35000,36000,36000,36000,122,108,3000.0,5366.248928220154,11.801084008766338,35699.90095801768,3260.22131147541
1753614434,100,,Aggregated,2.000000,1.800000,3100,6700,7400,8400,10000,23000,30000,35000,36000,36000,36000,123,109,3100.0,5379.754717763214,11.801084008766338,35699.90095801768,3245.2195121951218
1753614435,100,,Aggregated,2.000000,1.800000,3100,6700,7400,8400,12000,24000,35000,36000,44000,44000,44000,125,110,3100.0,5643.0298152787145,11.801084008766338,43655.377374991076,3686.152
1753614436,100,,Aggregated,1.800000,1.700000,3400,6700,7400,8400,12000,24000,35000,36000,44000,44000,44000,127,112,3400.0,5662.2496626759685,11.801084008766338,43655.377374991076,3650.3858267716537
1753614437,100,,Aggregated,1.700000,1.600000,3400,6800,7600,8400,12000,27000,36000,44000,46000,46000,46000,129,113,3400.0,5993.883465712054,11.801084008766338,46231.20320899761,4081.1162790697676
1753614438,100,,Aggregated,1.800000,1.600000,3400,6800,7600,8400,12000,27000,36000,44000,46000,46000,46000,130,114,3400.0,5996.8363195066695,11.801084008766338,46231.20320899761,4060.607692307692
