model,version,batch_size,concurrency_range,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
gemma3,1,8,1:24:8,9,4.72835,57,881,13351836,18,1691425,39,0,15156792,15654014,15674120,15691061,57,15044191,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.64054;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.973;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:319.973;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.798;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.933;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.379;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.921;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.639;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.946;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:132929028096;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:24:8,1,4.74069,51,816,281,17,1686537,38,0,1680010,1685752,1687125,2215195,51,1687682,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.643272;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.697;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.516;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.523;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.732;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.148;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.619;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.318;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.61;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:132929028096;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:24:8,17,4.7407,57,837,26575458,17,1689954,39,0,28629463,29115898,29130164,29154250,57,28266297,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.641528;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.196;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.08;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.04;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.171;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.666;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.177;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.913;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.29;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:132929028096;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:128:16,113,4.5678,258,881,187990905,16,1748942,38,0,197465774,198144717,198274999,198303056,258,189740775,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.658673;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:193.115;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:324.07;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.842;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.929;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.065;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.601;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.139;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.877;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:133086314496;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:128:16,81,4.56786,82,841,134398657,18,1748751,39,0,141671922,141824120,141839690,141860747,82,136148298,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.657346;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:193.402;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:324.626;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:194.215;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:189.306;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.58;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:191.049;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.581;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:193.242;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:133086314496;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:128:16,49,4.56786,92,1218,80855262,17,1748789,39,0,85382666,86118096,86142570,86166085,92,82605316,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.660324;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.818;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:324.415;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.725;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.749;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.22;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.686;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.374;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.785;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:133086314496;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:128:16,17,4.56786,68,914,27317939,18,1749820,39,0,29588573,30290176,30296997,30316296,68,29068722,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.662778;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.258;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:323.913;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.216;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.224;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.749;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.259;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.987;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.445;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:133086314496;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:128:16,97,4.58011,69,1414,161212042,18,1749430,38,0,169611969,169799389,170334562,170458348,69,162962934,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.658966;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:193.671;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:324.743;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:194.478;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:189.52;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.761;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:191.216;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.709;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:193.436;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:133086314496;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:128:16,33,4.58016,61,1124,54037774,18,1747430,40,0,57452971,58130459,58154978,58203359,61,55786378,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.663333;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.476;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:324.163;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.436;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.425;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.974;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.432;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.137;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.587;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:133086314496;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,8,1:128:16,1,4.5802,51,502,282,17,1749053,37,0,1741494,1745711,1746731,1749133,51,1749885,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.657315;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.316;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:323.601;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.236;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.258;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.768;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.281;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.002;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.465;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:86292561920;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:133086314496;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:86292561920;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:86292561920;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:86292561920;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:86292561920;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:80923852800;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:16449011712;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
