test,model,batch_size,floating_point,concurrency,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait
alpha,gemma3,1,fp16,1:24:2,0,1,0.643508,50,719,278,17,1550278,39,0,1542649,1545638,1546397,1561484,50,1551326
alpha,gemma3,2,fp16,1:24:2,0,19,1.18516,54,819,24365170,66,6588780,81,0,32932954,32973698,32975293,34715581,54,30954911
alpha,gemma3,2,fp16,1:24:2,0,11,1.20368,48,752,11907481,41,6208113,74,0,18114342,18157300,19758219,19796982,48,18116455
alpha,gemma3,2,fp16,1:24:2,0,5,1.20368,51,815,2636162,34,5601306,73,0,8238339,8254527,8257616,8259402,51,8238383
alpha,gemma3,2,fp16,1:24:2,0,9,1.20368,54,820,8929651,33,5777241,83,0,14816465,16490745,16580923,18095577,54,14707821
alpha,gemma3,2,fp16,1:24:2,0,13,1.20368,51,746,15504553,43,5754102,73,0,21412491,21456162,23149850,23150264,51,21259510
alpha,gemma3,2,fp16,1:24:2,0,1,1.21293,50,788,276,18,1642665,37,0,1643711,1647611,1649365,1651605,50,1643779
alpha,gemma3,2,fp16,1:24:2,0,3,1.21294,52,772,2186348,20,2752390,49,0,4938679,4946945,4947599,4949573,52,4939574
alpha,gemma3,2,fp16,1:24:2,0,17,1.21294,55,843,21172911,55,6602022,80,0,26349809,32922552,32949589,34705922,55,27775904
alpha,gemma3,2,fp16,1:24:2,0,15,1.21294,53,757,18277157,41,6300194,80,0,24691489,26462864,26477385,26498644,53,24578222
alpha,gemma3,2,fp16,1:24:2,0,23,1.2222,51,826,31500935,63,6588014,78,0,39534969,39576067,41295988,41315339,51,38089910
alpha,gemma3,2,fp16,1:24:2,0,21,1.2222,52,823,27686012,55,6639827,82,0,32972060,39553680,39585615,41274033,52,34326793
alpha,gemma3,2,fp16,1:24:2,0,7,1.23145,52,835,5643809,41,5879855,77,0,11525354,11550098,11550637,11552863,52,11524609
alpha,gemma3,4,fp16,1:24:2,0,21,2.22218,54,824,33433835,41,3580520,58,0,37456892,39037256,41000926,41026613,54,37015269
alpha,gemma3,4,fp16,1:24:2,0,11,2.22218,55,816,15786898,34,3573235,64,0,19536972,21275860,21284731,23204733,55,19361039
alpha,gemma3,4,fp16,1:24:2,0,17,2.22218,55,806,26456875,33,3589403,59,0,30436158,32051133,33991936,34017201,55,30047167
alpha,gemma3,4,fp16,1:24:2,0,5,2.24068,49,782,5623737,39,3287363,53,0,8830148,10596172,10598790,12585461,49,8911967
alpha,gemma3,4,fp16,1:24:2,0,7,2.24069,48,787,9084918,38,3286545,55,0,12370716,12397297,12398402,12398980,48,12372338
alpha,gemma3,4,fp16,1:24:2,0,1,2.24069,51,784,276,20,2370213,42,0,1779678,1783829,1786527,1790627,51,2371328
alpha,gemma3,4,fp16,1:24:2,0,23,2.2592,52,809,37286051,37,3550123,58,0,42537638,42674108,42713270,42731872,52,40837069
alpha,gemma3,4,fp16,1:24:2,0,9,2.2592,50,817,12366136,41,3533434,59,0,17654506,17672915,17679773,17686522,50,15900479
alpha,gemma3,4,fp16,1:24:2,0,13,2.25921,52,840,19103230,29,3574105,58,0,21267470,24806483,24808366,24818748,52,22678256
alpha,gemma3,4,fp16,1:24:2,0,19,2.25922,54,817,29630056,34,3546440,58,0,31940116,35466970,35472246,35481188,54,33177396
alpha,gemma3,4,fp16,1:24:2,0,15,2.25922,56,795,22831217,28,3546676,59,0,24857815,28391451,28397923,28406555,56,26378767
alpha,gemma3,4,fp16,1:24:2,0,3,2.27772,49,812,2364407,30,2956315,52,0,5321064,5325605,5326793,5337964,49,5321611
alpha,mistral,1,fp16,1:24:2,0,1,0.379621,49,810,280,20,2621949,41,0,2600249,2697761,2712110,2721566,49,2623094
alpha,mistral,1,fp16,1:24:2,0,3,1.10183,49,744,281,17,2701929,37,0,2698539,2738174,2770754,2924434,49,2703002
alpha,mistral,1,fp16,1:24:2,0,5,1.79163,48,757,274,17,2792889,37,0,2757290,2825181,2874969,3081798,48,2793968
alpha,mistral,1,fp16,1:24:2,0,9,2.04625,49,806,262,17,4389483,37,0,3908650,7617254,7820905,8054109,49,4390601
alpha,mistral,1,fp16,1:24:2,0,19,2.06939,50,811,934810,19,8169186,51,0,9079171,13307749,13861136,15112832,50,9104872
alpha,mistral,1,fp16,1:24:2,0,11,2.0694,51,807,558070,16,4750340,39,0,4212782,8317135,9393986,9642884,51,5309266
alpha,mistral,1,fp16,1:24:2,0,21,2.07866,50,827,895166,22,9206578,58,0,9729154,15262975,16006228,17399332,50,10102645
alpha,mistral,1,fp16,1:24:2,0,13,2.07866,50,807,584786,17,5591289,43,0,5333310,11344354,11741720,13075101,50,6176935
alpha,mistral,1,fp16,1:24:2,0,17,2.07866,50,826,780025,18,7339885,48,0,7851906,12836859,13311672,13695828,50,8120798
alpha,mistral,1,fp16,1:24:2,0,15,2.09254,49,802,640889,17,6557903,47,0,7623366,11737029,12974290,13226575,49,7199652
alpha,mistral,1,fp16,1:24:2,0,23,2.10644,51,811,1046228,22,9875320,57,0,11523253,15499292,16039927,17153586,51,10922431
alpha,mistral,1,fp16,1:24:2,0,7,2.11107,50,794,273,19,3299449,39,0,2831717,5595553,5707153,5877365,50,3300570
alpha,mistral,2,fp16,1:24:2,0,1,0.749989,51,836,279,21,2665458,42,0,2668150,2744338,2764239,2772878,51,2666630
alpha,mistral,2,fp16,1:24:2,0,3,2.18514,50,780,276,18,2741497,38,0,2695709,2731229,2741001,5288611,50,2742604
alpha,mistral,2,fp16,1:24:2,0,5,3.56475,50,767,272,17,2785368,37,0,2773212,2857584,2901854,3052272,50,2786456
alpha,mistral,2,fp16,1:24:2,0,13,4.00918,51,651,669799,16,5754193,42,0,5260747,11774164,12093058,13838100,51,6424694
