model,version,batch_size,concurrency_range,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
rt-gemma3,1,1,1:128:16,1,13.4986,43,1223,284,41,71957,131,263,73855,74427,74533,77026,306,73426,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.866111;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.745;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:219.994;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.424;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.822;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.495;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.072;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.787;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.489;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,1,1:128:16,17,18.7751,48,1195,527599,36,362912,1084,1234,909491,1105216,1105972,1205499,1282,892691,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.976757;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.034;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:202.302;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.756;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.108;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.779;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.286;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.962;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.714;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,1,1:128:16,33,19.0253,53,1336,1275857,36,415175,1185,949,1670238,2086671,2087584,2088490,1002,1693405,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.986757;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.889;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:199.082;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.655;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.008;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.663;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.164;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.834;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.614;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,1,1:128:16,97,19.1083,56,1364,4532815,36,416232,1197,1164,5010566,5426586,5427866,5428817,1220,4951411,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.987297;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.034;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:199.432;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.736;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.062;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.853;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.339;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.011;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.697;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,1,1:128:16,65,19.1084,51,1450,2906122,36,416227,1188,975,3340351,3756761,3757687,3758433,1026,3324765,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.986757;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.88;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:198.828;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.595;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.957;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.708;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.159;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.847;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.571;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,1,1:128:16,81,19.1085,57,1399,3719435,36,416232,1195,1135,4175530,4591632,4592819,4593769,1192,4138052,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.985135;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.985;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:199.303;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.754;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.107;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.855;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.341;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.011;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.625;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,1,1:128:16,113,19.3255,179,1306,5347647,36,416235,1196,1115,5845647,6262069,6262918,6263692,1294,5766206,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.988421;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.907;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:198.94;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.584;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.963;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.688;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.229;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.875;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.599;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,1,1:128:16,49,19.3308,50,1424,2083842,36,416247,1163,851,2505218,2921727,2922471,2923322,901,2502486,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.986216;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.928;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:198.794;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.68;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.024;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.751;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.224;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.91;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.655;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,4,1:128:16,1,17.5532,47,2111,269,32,221196,624,2348,227098,227670,227800,227916,2395,223045,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.966944;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.913;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:203.488;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.632;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.971;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.758;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.238;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.913;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.611;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
rt-gemma3,1,4,1:128:16,17,19.0983,55,2763,2956493,28,413940,1217,3635,3343687,3760167,3760732,3761326,3690,3372600,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.981842;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.897;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:199.367;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:191.635;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.98;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.735;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.194;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.935;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.603;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:36426481664;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:64589135872;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:36409704448;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:36409704448;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:36418093056;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:36460036096;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:36493590528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:36418093056;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
