Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
1,0.712948,53,789,269,21,2771338,41,0,2763212,2843718,2869645,2878323,53,2772453,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.0674537;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.0659259;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.066713;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.0663426;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.0669444;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.0654167;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.0675926;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.0399074;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:260.756;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:243.59;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:259.796;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:250.074;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:256.834;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:251.635;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:260.119;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:254.631;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
3,1.48145,51,800,273,18,4027241,39,0,4059285,4570299,4770057,4887355,51,4028366,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.204444;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.174815;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.203935;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.212639;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.204444;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.20338;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.201944;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.116759;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:276.987;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:248.244;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:277.442;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:266.402;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:273.092;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:267.857;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:276.331;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:264.226;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
5,1.87034,49,766,266,20,5308558,42,0,4439927,8615021,8767041,9167957,49,5309647,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.296528;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.236852;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.288102;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.290324;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.289537;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.289722;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.289491;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.159352;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:287.411;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:251.015;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:286.268;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:276.031;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:283.107;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:277.692;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:286.41;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:270.441;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
7,2.23144,51,774,260,20,6215635,43,0,4789347,9274883,9511328,9615759,51,6216727,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.345787;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.276528;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.335185;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.3475;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.332731;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.340093;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.338843;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.187778;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:296.439;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:253.627;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:294.964;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:284.505;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:291.875;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:286.687;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:296.127;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:275.804;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
23,2.86104,54,840,1330650,26,14350414,60,0,16582224,23081044,23453634,24542570,54,15681983,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.484352;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.365602;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.485093;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.500231;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.493704;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.481481;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.474259;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.256944;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:309.597;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:258.078;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:309.638;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:299.856;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:306.918;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:301.726;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:309.95;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:283.991;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
9,2.87031,49,781,267,18,6346970,40,0,5401711,10484992,10746065,11161777,49,6348071,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.462454;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.353009;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.459444;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.464074;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.474907;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.458194;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.462407;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.248009;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:308.306;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:257.229;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:307.016;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:298.131;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:304.923;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:299.839;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:308.041;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:282.116;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
21,2.87031,52,789,1243449,23,12877513,56,0,14002646,22138925,22782795,23628536,52,14121826,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.491389;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.361713;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.481435;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.491944;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.480833;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.48588;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.47463;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.257037;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:311.896;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:257.99;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:309.977;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:301.522;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:308.181;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:303.093;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:310.641;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:284.209;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
15,2.88883,51,814,892666,18,9328582,48,0,8395879,17242573,17748343,18940023,51,10222123,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.493194;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.371389;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.484074;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.498102;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.486019;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.486806;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.482824;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.258472;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:309.748;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:257.909;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:308.889;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:299.383;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:306.386;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:301.202;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:308.868;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:284.214;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
11,2.90736,52,819,737180,16,6729348,42,0,6347062,11590516,11832682,13023746,52,7467399,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.496528;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.372685;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.484259;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.507407;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.483519;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.482963;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.481528;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.26088;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:309.989;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:257.628;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:309.102;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:299.69;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:306.826;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:301.492;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:309.413;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:283.357;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
13,2.90736,53,842,842871,18,8060980,45,0,6799157,16265582,17363900,18629422,53,8904749,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.497222;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.372593;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.490417;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.482407;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.491435;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.500787;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.48963;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.259861;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:309.666;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:257.822;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:309.479;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:299.614;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:306.621;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:301.384;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:309.241;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:283.834;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:50069504000;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57255395328;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:50069504000;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:50069504000;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:50069504000;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:50069504000;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48710549504;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24886902784;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
