Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
1,1.49997,51,888,286,21,2652152,42,0,2641359,2692754,2779585,2829658,51,2653382,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.0736574;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.0689352;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.0724074;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.0721759;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.0725;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.0746296;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.0787963;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:260.635;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:250.624;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:260.492;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:252.3;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:257.843;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:253.102;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:257.761;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:193.933;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
3,4.44434,49,759,273,18,2703268,37,0,2689867,2781548,2817313,2842520,49,2704351,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.237315;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.235926;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.240046;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.239861;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.252778;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.244861;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.262407;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:293.556;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:270.43;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:293.094;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:284.509;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:290.868;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:284.413;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:286.862;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:193.753;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
5,5.81469,49,758,271,19,3420314,40,0,2753185,5484112,5535570,5658570,49,3421397,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.317454;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.30713;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.32;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.322315;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.337222;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.326204;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.347963;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:309.921;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:280.233;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:309.332;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:300.017;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:306.672;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:300.53;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:301.88;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.243;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
23,7.7406,50,852,3523814,19,8163411,51,0,11700915,15011515,15261827,15712805,50,11688142,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.509306;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.464306;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.523935;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.559491;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.605093;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.538565;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.498102;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:334.091;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:294.17;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:332.777;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:324.176;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:330.723;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:324.247;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:322.435;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.321;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
19,7.7776,49,851,1826199,18,7812500,50,0,9117407,12321465,12804298,14239151,49,9639613,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.527361;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.468519;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.525972;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.55537;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.601667;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.555972;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.506852;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:334.205;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:294.956;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:333.902;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:324.617;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:331.255;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:324.213;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:323.021;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.499;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
13,7.79614,48,796,626469,16,5911562,43,0,6444603,8856966,10176937,10470354,48,6538880,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.522361;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.466019;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.524398;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.568472;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.59713;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.542963;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.497037;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:334.841;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:295.62;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:334.202;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:324.651;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:332.138;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:324.158;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:323.149;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.547;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
15,7.79615,50,843,704512,18,6978274,46,0,8356708,9402599,10268607,10540085,50,7683687,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.525602;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.454537;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.518843;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.573657;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.59125;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.535602;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.492546;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:333.838;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:294.285;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:333.521;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:323.554;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:330.441;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:323.147;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:321.884;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.567;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
11,7.90728,50,805,551424,15,5030832,41,0,4651714,8475986,8848550,10442183,50,5583111,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.511852;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.454954;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.528241;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.555694;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.61338;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.534398;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.492222;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:335.562;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:294.499;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:333.36;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:325.387;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:332.317;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:325.004;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:323.496;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.598;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
17,7.92578,50,842,889600,20,7794777,50,0,8491906,10367803,11965633,12448696,50,8685283,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.517778;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.464537;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.52838;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.558889;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.58912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.550926;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.494769;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:333.668;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:294.634;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:333.537;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:323.957;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:330.557;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:323.445;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:322.738;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.481;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
21,7.96273,50,840,2551162,20,8190260,51,0,9376630,14560259,14705799,14916371,50,10742326,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.522731;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.458056;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.537963;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.561898;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.582546;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.579213;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.491806;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:335.384;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:294.081;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:332.217;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:325.481;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:331.294;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:324.177;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:323.325;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:194.379;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:49884954624;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:57054068736;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:49884954624;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:49884954624;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:49884954624;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:49884954624;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:48526000128;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:24719130624;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
