model,batch_size,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
gemma3,8,512,5.90113,7820,9310,692389668,18,2709978,43,0,693918210,695533683,724755898,749308680,7820,695109007,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.916281;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.397;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:356.628;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.416;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.384;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192.775;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.088;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:190.888;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,640,5.91346,520,909,763988728,15,2703027,39,0,778168240,778888532,778989656,779072830,520,766692710,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.915772;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:358.293;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.692;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.316;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.893;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.237;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.094;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.319;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,576,5.92581,89,922,690688203,16,2703049,41,0,693629219,694648913,694810357,695010563,89,693392222,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.915741;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.254;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:358.057;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.447;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.138;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.695;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.999;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.883;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.001;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,704,5.938,557,914,838214171,15,2693092,41,0,863168355,864744507,865191103,865533998,557,840908226,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.915849;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.802;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:359.005;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.986;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.565;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.146;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.433;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.405;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.569;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,768,5.96282,622,2838,910615915,18,2686551,42,0,945791754,947599998,947751185,947899330,622,913305355,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.916543;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.904;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:359.259;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:194.095;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.658;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.238;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.597;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.345;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.708;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,832,6.01209,739,981,981892717,18,2662639,42,0,973346502,1027921252,1028572537,1029251337,739,984556388,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.921775;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:193.075;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:360.914;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:194.249;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.818;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.407;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.732;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.338;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.831;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,896,6.0122,2092,1008,1050818572,17,2658928,41,0,1025137968,1106206347,1106960750,1107579986,2092,1053478557,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.922238;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:193.19;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:361.525;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:194.301;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.872;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.406;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.758;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.389;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.888;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,1024,6.03686,842,998,1192436215,18,2648398,42,0,1186680055,1230792235,1262873985,1269530590,842,1195085662,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.923843;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:193.159;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:362.066;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:194.277;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.822;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.387;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.748;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.357;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.882;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,960,6.06156,777,959,1121108534,18,2640448,42,0,1105226713,1186877776,1187672990,1187884430,777,1123749991,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.924336;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:193.336;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:362.778;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:194.442;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:189.014;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.571;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.534;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:193.019;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91548024832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:105354625024;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91548024832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91548024832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91548024832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91548024832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88863670272;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
mistral,8,512,14.4195,5539,908,270130376,16,8804009,41,0,281592569,282628556,283715226,286357157,5539,278935343,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.66847;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.486739;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.689165;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.662983;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.723879;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.707604;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.540726;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:345.173;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:300.697;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:344.005;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:333.636;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:341.817;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:336.396;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:331.383;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:196.388;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:97053048832;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:110893203456;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:97053048832;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:97053048832;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:97053048832;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:97053048832;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:94404345856;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:45511344128;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
