test,model,batch_size,floating_point,concurrency,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
alpha,gemma3,1,fp16,1:24:2,0,1,0.643508,50,719,278,17,1550278,39,0,1542649,1545638,1546397,1561484,50,1551326,GPU-0:0;GPU-1:0.595972;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.228;GPU-1:302.562;GPU-2:192.052;GPU-3:188.215;GPU-4:192.983;GPU-5:188.955;GPU-6:191.025;GPU-7:191.174;,GPU-0:47737470976;GPU-1:54514417664;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,19,1.18516,54,819,24365170,66,6588780,81,0,32932954,32973698,32975293,34715581,54,30954911,GPU-0:0;GPU-1:0.624491;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.18;GPU-1:303.353;GPU-2:192.636;GPU-3:188.163;GPU-4:192.978;GPU-5:188.939;GPU-6:191.088;GPU-7:191.302;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,11,1.20368,48,752,11907481,41,6208113,74,0,18114342,18157300,19758219,19796982,48,18116455,GPU-0:0;GPU-1:0.624352;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.581;GPU-1:303.587;GPU-2:192.963;GPU-3:188.511;GPU-4:193.2;GPU-5:189.126;GPU-6:191.356;GPU-7:191.63;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,5,1.20368,51,815,2636162,34,5601306,73,0,8238339,8254527,8257616,8259402,51,8238383,GPU-0:0;GPU-1:0.624352;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.47;GPU-1:303.601;GPU-2:192.823;GPU-3:188.398;GPU-4:193.108;GPU-5:189.003;GPU-6:191.255;GPU-7:191.453;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,9,1.20368,54,820,8929651,33,5777241,83,0,14816465,16490745,16580923,18095577,54,14707821,GPU-0:0;GPU-1:0.619907;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.592;GPU-1:302.573;GPU-2:192.876;GPU-3:188.514;GPU-4:193.233;GPU-5:189.061;GPU-6:191.33;GPU-7:191.466;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,13,1.20368,51,746,15504553,43,5754102,73,0,21412491,21456162,23149850,23150264,51,21259510,GPU-0:0;GPU-1:0.619074;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.234;GPU-1:302.626;GPU-2:192.612;GPU-3:188.119;GPU-4:192.917;GPU-5:188.92;GPU-6:191.071;GPU-7:191.32;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,1,1.21293,50,788,276,18,1642665,37,0,1643711,1647611,1649365,1651605,50,1643779,GPU-0:0;GPU-1:0.626389;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.08;GPU-1:303.357;GPU-2:192.286;GPU-3:188.147;GPU-4:192.956;GPU-5:188.896;GPU-6:191.013;GPU-7:191.227;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,3,1.21294,52,772,2186348,20,2752390,49,0,4938679,4946945,4947599,4949573,52,4939574,GPU-0:0;GPU-1:0.625833;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.441;GPU-1:303.653;GPU-2:192.807;GPU-3:188.41;GPU-4:193.127;GPU-5:189.024;GPU-6:191.244;GPU-7:191.389;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,17,1.21294,55,843,21172911,55,6602022,80,0,26349809,32922552,32949589,34705922,55,27775904,GPU-0:0;GPU-1:0.618981;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:192.102;GPU-1:302.537;GPU-2:192.566;GPU-3:188.104;GPU-4:192.943;GPU-5:188.921;GPU-6:191.011;GPU-7:191.303;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
alpha,gemma3,2,fp16,1:24:2,0,15,1.21294,53,757,18277157,41,6300194,80,0,24691489,26462864,26477385,26498644,53,24578222,GPU-0:0;GPU-1:0.620926;GPU-2:0;GPU-3:0;GPU-4:0;GPU-5:0;GPU-6:0;GPU-7:0;,GPU-0:191.921;GPU-1:302.096;GPU-2:192.324;GPU-3:187.917;GPU-4:192.729;GPU-5:188.804;GPU-6:190.841;GPU-7:191.135;,GPU-0:47737470976;GPU-1:54636052480;GPU-2:47737470976;GPU-3:47737470976;GPU-4:47737470976;GPU-5:47737470976;GPU-6:46395293696;GPU-7:24719130624;,GPU-0:192265846784;GPU-1:192265846784;GPU-2:192265846784;GPU-3:192265846784;GPU-4:192265846784;GPU-5:192265846784;GPU-6:192265846784;GPU-7:192265846784;
